date,QQQ,VOO
2022-01-03,100.01171898,101.95757680
2022-01-04,99.56381572,101.35984656
2022-01-05,101.08076069,101.64043448
2022-01-06,99.98617635,100.87485056
2022-01-07,100.33224266,101.74751428
2022-01-10,99.21373529,101.36503674
2022-01-11,97.74854232,102.42746495
2022-01-12,97.93778201,101.24215788
2022-01-13,97.91441229,100.55504755
2022-01-14,98.76838842,99.99613327
2022-01-17,96.93573505,100.09324477
2022-01-18,96.97170362,99.84147181
2022-01-19,97.07194709,101.13135310
2022-01-20,95.99875660,102.40972932
2022-01-21,97.18280809,102.92032418
2022-01-24,96.14398422,102.79655672
2022-01-25,95.91089241,102.07437181
2022-01-26,96.34641100,101.81787642
2022-01-27,96.56568282,102.30979131
2022-01-28,97.51374899,103.98127998
2022-01-31,98.18045522,105.76279406
2022-02-01,98.54638370,106.03371495
2022-02-02,95.31987088,105.52227536
2022-02-03,94.11633379,105.94661225
2022-02-04,95.26910092,106.30066521
2022-02-07,94.14297708,106.41726465
2022-02-08,95.64969744,106.06927620
2022-02-09,95.71333826,105.84676226
2022-02-10,95.55873974,106.87436641
2022-02-11,95.97460763,105.30177817
2022-02-14,93.77300016,106.84533254
2022-02-15,93.75178766,106.36000003
2022-02-16,95.90819586,106.85771396
2022-02-17,97.49288823,106.09666461
2022-02-18,96.77017269,106.01194161
2022-02-21,98.51178313,105.43764747
2022-02-22,96.59316109,104.64923620
2022-02-23,96.34012485,104.54413258
2022-02-24,95.93867286,105.37422038
2022-02-25,96.34850030,105.22874259
2022-02-28,96.52575049,104.75718088
2022-03-01,96.28488972,104.80230908
2022-03-02,95.82612239,105.09352616
2022-03-03,95.21329964,104.66914308
2022-03-04,94.91044101,103.84865793
2022-03-07,94.73773955,102.47152799
2022-03-08,93.61013512,103.56679083
2022-03-09,94.64538806,103.77247342
2022-03-10,95.02253404,102.86193644
2022-03-11,97.15212615,102.87012244
2022-03-14,98.06967112,101.25862393
2022-03-15,98.31353137,101.85131038
2022-03-16,98.99323757,100.84457290
2022-03-17,100.00233512,100.30784323
2022-03-18,99.13452377,100.89565397
2022-03-21,99.70462404,101.90575034
2022-03-22,100.07149111,101.80805032
2022-03-23,98.99342780,102.72535270
2022-03-24,100.99502498,103.55066671
2022-03-25,100.93816917,103.66556827
2022-03-28,101.39346049,103.08685201
2022-03-29,103.03589643,103.05408039
2022-03-30,102.95768074,103.91133888
2022-03-31,103.32247079,103.50882176
2022-04-01,104.15007955,102.84408584
2022-04-04,103.11927077,103.27091118
2022-04-05,102.77733903,103.55213627
2022-04-06,101.38201004,104.98252836
2022-04-07,103.45407774,104.92182213
2022-04-08,102.67664719,105.29274964
2022-04-11,101.19729668,105.46609787
2022-04-12,98.97423446,105.45927169
2022-04-13,99.85859586,103.08131734
2022-04-14,98.20865116,102.87808701
2022-04-15,100.02638632,103.03403234
2022-04-18,100.99338466,104.24792701
2022-04-19,101.83142788,104.07448374
